name,age,bp,position,height,weight,foot,growth,value,wage,release_clause,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,total_stats,base_stats,w/f,sm,a/w,d/w,ir,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova
A. Sánchez,23,CDM,CDM CM,167.64000000000001,69.3,Right,6,325000.0,500,764000.0,49,33,44,67,25.0,49,36.0,27,59,60,78,77,68.0,63,86.0,40,58.0,60,58,30,60,65.0,55.0,49.0,35,62.0,55,55,50.0,7,10,9,7,9,1533,338,3,2,Medium,Medium,1,77,35,55,57,55,59,3,51,51,51,56,54,54,54,56,56,56,56,58,57,57,57,58,60,60,60,60,60,59,57,57,57,59,14,61
Bruno,35,CM,CM CDM,182.88,72.45,Left,0,3200000.0,22000,6700000.0,60,68,61,82,48.0,73,72.0,77,81,76,32,31,40.0,73,55.0,78,55.0,32,70,73,75,74.0,70.0,80.0,75,80.0,76,76,74.0,13,10,9,11,8,1888,382,3,3,Medium,High,3,31,70,76,70,74,61,3,67,67,67,66,70,70,70,66,72,72,72,66,74,74,74,66,65,74,74,74,65,65,72,72,72,65,17,76
Iñaki Álvarez,23,GK,GK,182.88,75.60000000000001,Right,10,475000.0,4000,1100000.0,10,9,11,18,9.0,5,12.0,13,29,12,28,23,21.0,41,48.0,46,59.0,25,51,5,22,10.0,7.0,26.0,19,22.0,8,14,12.0,63,67,61,64,65,913,345,3,1,Medium,Medium,1,63,67,61,65,25,64,3,19,19,19,15,17,17,17,15,17,17,17,17,19,19,19,17,17,20,20,20,17,17,19,19,19,17,62,63
N. Balogh,23,ST,ST,198.12,80.55,Right,6,1100000.0,5000,2300000.0,61,64,65,62,68.0,74,62.0,55,55,74,66,80,62.0,58,33.0,61,62.0,46,69,59,59,37.0,61.0,65.0,55,59.0,30,29,22.0,8,7,7,10,5,1631,362,4,3,Medium,Medium,1,74,62,61,70,34,61,3,66,66,66,67,66,66,66,67,66,66,66,65,60,60,60,65,50,49,49,49,50,48,46,46,46,48,13,67
Borja Sainz,19,RM,RM CAM,177.8,74.25,Right,13,1000000.0,3000,2700000.0,63,53,34,62,41.0,67,58.0,45,56,65,76,75,74.0,64,74.0,55,40.0,64,38,42,59,38.0,62.0,60.0,61,58.0,35,33,37.0,11,5,7,9,11,1574,337,3,3,Medium,Medium,1,75,51,60,67,35,49,20,57,57,57,64,62,62,62,64,62,62,62,64,58,58,58,64,54,50,50,50,54,51,42,42,42,51,15,65
H. Ziyech,27,CAM,CAM RW,180.34,64.35000000000001,Left,1,44000000.0,140000,86900000.0,88,73,53,86,74.0,83,90.0,78,89,85,83,77,85.0,84,78.0,83,37.0,80,59,77,73,52.0,82.0,89.0,67,79.0,44,56,40.0,11,7,11,8,14,2096,443,2,5,High,High,3,80,76,87,84,50,66,391,77,77,77,83,82,82,82,83,84,84,84,84,82,82,82,84,70,70,70,70,70,66,57,57,57,66,18,85
D. Musto,31,CDM,CDM,182.88,79.2,Right,0,2700000.0,15000,0.0,54,34,68,79,32.0,62,35.0,50,76,66,42,49,52.0,73,49.0,70,65.0,76,77,67,78,68.0,59.0,59.0,40,55.0,66,75,68.0,11,14,9,14,9,1746,369,3,2,Low,Medium,1,46,49,66,62,70,76,6,59,59,59,59,60,60,60,59,63,63,63,61,69,69,69,61,66,72,72,72,66,66,71,71,71,66,19,73
M. Vojvoda,25,RB,RB CB,185.42,80.55,Right,4,4500000.0,28000,8000000.0,73,39,62,69,47.0,71,62.0,58,67,69,71,69,68.0,71,61.0,69,65.0,75,70,58,70,70.0,62.0,65.0,35,68.0,70,73,72.0,8,12,10,10,8,1859,399,4,2,Medium,Medium,1,70,50,68,70,70,71,25,62,62,62,66,64,64,64,66,66,66,66,68,68,68,68,68,71,70,70,70,71,71,70,70,70,71,16,73
Elady,29,ST,LM RM,175.26,74.25,Left,0,875000.0,4000,1400000.0,68,74,75,65,51.0,68,60.0,64,60,69,61,64,65.0,65,70.0,65,73.0,65,68,63,55,28.0,71.0,68.0,73,52.0,45,31,34.0,12,8,12,5,9,1764,369,3,3,Medium,Medium,1,63,69,65,68,39,65,5,69,69,69,68,68,68,68,68,67,67,67,67,62,62,62,67,54,52,52,52,54,52,49,49,49,52,15,68
F. Mayer,21,CB,CB,190.5,86.4,Right,11,475000.0,3000,903000.0,36,31,60,46,29.0,39,32.0,32,39,42,53,52,36.0,49,46.0,49,67.0,55,69,23,59,59.0,28.0,30.0,47,42.0,61,67,66.0,10,6,11,6,11,1346,290,3,2,Medium,Medium,1,52,34,38,40,63,63,10,43,43,43,39,40,40,40,39,39,39,39,41,42,42,42,41,52,53,53,53,52,55,61,61,61,55,13,62
S. Kersten,22,CB,CB,190.5,78.3,Right,6,675000.0,2000,1100000.0,31,38,60,68,29.0,42,41.0,29,65,57,67,56,58.0,58,47.0,59,70.0,63,77,51,58,62.0,30.0,29.0,40,59.0,65,68,66.0,7,11,12,10,8,1532,337,3,2,Medium,Medium,1,61,44,49,49,65,69,4,51,51,51,48,49,49,49,48,50,50,50,50,54,54,54,50,58,63,63,63,58,60,65,65,65,60,15,65
Y. Kalley,19,LB,LB LM,180.34,62.550000000000004,Left,12,130000.0,500,189000.0,49,28,34,38,36.0,53,30.0,34,42,50,74,72,52.0,58,71.0,32,78.0,64,39,33,57,51.0,44.0,32.0,36,41.0,49,55,48.0,7,5,7,9,8,1375,297,1,2,High,Medium,1,73,31,39,53,50,51,5,43,43,43,48,46,46,46,48,45,45,45,50,45,45,45,50,53,49,49,49,53,53,50,50,50,53,13,55
T. Cairney,29,CAM,CAM CM,185.42,83.25,Left,0,7500000.0,85000,14300000.0,71,71,58,81,70.0,76,76.0,72,76,79,66,60,78.0,75,75.0,74,42.0,69,67,76,54,60.0,72.0,76.0,65,77.0,63,62,51.0,14,12,7,6,7,1961,413,2,4,Medium,Medium,1,63,72,77,77,60,64,42,71,71,71,74,74,74,74,74,76,76,76,74,75,75,75,74,67,69,69,69,67,65,62,62,62,65,17,76
B. Embolo,23,ST,ST CAM,185.42,85.5,Right,6,14500000.0,37000,27600000.0,63,78,71,76,64.0,77,68.0,51,70,74,83,91,66.0,76,67.0,82,73.0,78,85,70,79,41.0,78.0,72.0,66,74.0,26,42,38.0,13,6,7,7,12,1950,428,4,3,Medium,Medium,2,87,76,70,74,40,81,191,78,78,78,76,77,77,77,76,75,75,75,76,71,71,71,76,61,60,60,60,61,59,56,56,56,59,17,78
Luis Paezinho,24,CB,CB LB,182.88,74.25,Left,0,525000.0,5000,998000.0,51,25,61,53,57.0,23,35.0,50,45,61,64,65,45.0,61,62.0,48,79.0,36,69,41,65,64.0,23.0,38.0,47,58.0,72,66,65.0,13,19,15,16,18,1552,314,3,2,Medium,Medium,1,65,35,47,40,67,60,3,45,45,45,44,43,43,43,44,44,44,44,45,47,47,47,45,57,59,59,59,57,60,65,65,65,60,21,65
F. Mesones,25,LB,LB,170.18,69.3,Left,1,110000.0,500,245000.0,52,35,50,57,23.0,41,39.0,41,55,49,72,72,64.0,47,75.0,33,58.0,69,55,36,58,52.0,42.0,34.0,40,39.0,48,53,49.0,12,10,9,6,6,1442,314,2,2,Medium,Low,1,72,35,49,48,51,59,5,45,45,45,49,46,46,46,49,47,47,47,51,49,49,49,51,55,53,53,53,55,55,52,52,52,55,13,57
Tete,20,CAM,RM CAM,175.26,72.45,Left,11,11500000.0,500,26500000.0,69,70,35,76,55.0,82,48.0,38,68,79,82,84,78.0,68,71.0,71,67.0,68,61,69,37,41.0,59.0,70.0,45,67.0,24,25,27.0,7,11,5,9,11,1710,385,3,4,High,Medium,1,83,67,69,79,29,58,249,67,67,67,74,73,73,73,74,74,74,74,74,68,68,68,74,58,54,54,54,58,53,42,42,42,53,16,75
J. Bizama,26,CB,RB CB,177.8,74.25,Right,3,975000.0,3000,1500000.0,59,39,63,67,28.0,60,47.0,25,66,65,74,79,65.0,55,64.0,56,68.0,73,76,53,72,60.0,55.0,50.0,34,53.0,63,69,70.0,6,14,9,5,13,1702,382,3,2,Medium,Medium,1,77,45,59,62,65,74,5,57,57,57,60,58,58,58,60,59,59,59,62,61,61,61,62,66,65,65,65,66,66,67,67,67,66,14,68
F. Wadja,25,CB,CDM CM,185.42,82.35000000000001,Right,6,1100000.0,10000,2400000.0,58,31,65,67,41.0,55,55.0,39,64,61,68,69,65.0,63,66.0,51,73.0,90,86,41,74,65.0,54.0,57.0,48,56.0,67,65,64.0,9,9,11,8,5,1744,379,3,2,High,Medium,1,69,40,61,59,66,84,4,55,55,55,57,56,56,56,57,58,58,58,61,62,62,62,61,66,67,67,67,66,67,68,68,68,67,14,68
Diego Farías,30,RW,ST,172.72,65.7,Right,0,2300000.0,500,5100000.0,66,70,64,72,63.0,78,65.0,65,59,77,85,81,88.0,73,90.0,70,70.0,58,40,68,40,25.0,72.0,72.0,69,72.0,55,27,20.0,6,7,6,5,14,1820,383,3,4,High,Medium,1,83,69,68,79,38,46,8,71,71,71,75,74,74,74,75,74,74,74,73,66,66,66,73,56,51,51,51,56,53,45,45,45,53,15,71
N. Casale,21,CB,CB,190.5,79.2,Right,12,425000.0,550,0.0,39,24,56,39,29.0,34,29.0,36,32,44,59,60,45.0,52,56.0,43,67.0,61,73,30,64,62.0,33.0,37.0,45,54.0,56,65,63.0,14,8,13,13,9,1390,297,3,2,Medium,Medium,1,60,31,37,40,61,68,7,42,42,42,40,40,40,40,40,39,39,39,42,42,42,42,42,53,53,53,53,53,56,60,60,60,56,16,61
Vaná,25,GK,GK,193.04,79.2,Right,5,4500000.0,7000,0.0,17,17,19,24,17.0,18,12.0,12,27,24,49,50,31.0,65,44.0,20,55.0,28,69,14,28,20.0,14.0,61.0,19,33.0,17,18,15.0,75,71,69,75,79,1173,419,2,1,Medium,Medium,1,75,71,69,79,50,75,4,28,28,28,29,30,30,30,29,31,31,31,30,31,31,31,30,27,29,29,29,27,27,28,28,28,27,74,75
O. Skipp,19,CDM,CDM CM,177.8,69.3,Right,16,1800000.0,2000,0.0,52,41,51,73,35.0,61,48.0,42,66,72,67,59,58.0,65,71.0,55,61.0,68,57,45,71,64.0,50.0,62.0,54,61.0,62,69,66.0,8,12,9,7,5,1686,363,3,2,Medium,High,1,63,45,63,65,64,63,185,55,55,55,60,60,60,60,60,62,62,62,62,65,65,65,62,65,67,67,67,65,64,64,64,64,64,14,68
R. Balbuena,20,RM,CAM,175.26,71.55,Right,12,550000.0,2000,908000.0,59,55,41,57,63.0,71,65.0,49,53,69,83,79,78.0,49,69.0,73,58.0,61,47,61,43,39.0,53.0,57.0,57,63.0,41,31,33.0,9,6,14,11,12,1646,355,4,2,Medium,Medium,1,81,60,57,70,37,50,3,60,60,60,64,62,62,62,64,62,62,62,63,56,56,56,63,53,48,48,48,53,50,43,43,43,50,14,62
K. Iwashita,33,CB,CB,180.34,75.60000000000001,Right,0,170000.0,1000,213000.0,29,31,63,58,30.0,31,29.0,30,33,50,36,33,37.0,64,60.0,36,71.0,49,75,31,61,62.0,28.0,30.0,32,53.0,64,64,64.0,11,9,6,7,7,1321,276,3,2,Medium,Medium,1,34,32,40,40,64,66,3,43,43,43,39,40,40,40,39,41,41,41,40,45,45,45,40,52,56,56,56,52,54,63,63,63,54,14,63
R. Kharchouch,24,ST,ST,187.96,74.25,Right,4,850000.0,3000,1300000.0,42,70,69,58,53.0,64,47.0,35,48,57,64,71,54.0,62,58.0,67,66.0,53,82,66,39,15.0,66.0,51.0,65,59.0,20,20,25.0,7,9,12,12,11,1538,335,4,2,High,Medium,1,68,67,50,61,24,65,6,66,66,66,61,63,63,63,61,60,60,60,59,53,53,53,59,43,41,41,41,43,41,40,40,40,41,16,66
T. Kehinde,22,RM,LM,177.8,74.25,Right,11,925000.0,3000,1300000.0,52,45,54,68,47.0,66,45.0,45,64,65,75,80,75.0,62,71.0,65,71.0,67,61,50,62,44.0,60.0,61.0,52,61.0,33,35,35.0,14,7,6,12,8,1657,358,3,3,High,Medium,1,78,51,61,67,38,63,27,60,60,60,63,62,62,62,63,63,63,63,64,61,61,61,64,55,54,54,54,55,52,48,48,48,52,16,65
E. Soleri,19,ST,ST,193.04,74.25,Right,15,800000.0,2000,0.0,38,66,69,38,61.0,59,45.0,42,31,63,65,63,58.0,64,58.0,59,62.0,56,74,62,48,15.0,59.0,38.0,66,56.0,18,12,17.0,9,9,14,15,7,1460,310,3,2,Medium,Medium,1,64,63,38,60,21,64,3,62,62,62,56,58,58,58,56,54,54,54,54,46,46,46,54,39,35,35,35,39,37,37,37,37,37,16,63
S. Skytte,23,CDM,CM,190.5,84.15,Left,8,775000.0,1000,1100000.0,50,58,64,66,50.0,65,56.0,46,63,66,60,58,65.0,64,56.0,71,64.0,73,86,62,71,63.0,62.0,65.0,50,68.0,61,64,60.0,5,13,8,6,13,1784,388,4,3,Medium,Medium,1,59,61,61,65,63,79,3,64,64,64,62,64,64,64,62,64,64,64,63,65,65,65,63,62,66,66,66,62,62,66,66,66,62,15,65
E. Kaja,21,RM,CAM RM,177.8,77.4,Right,9,200000.0,3000,390000.0,62,54,36,53,45.0,58,39.0,50,51,60,73,76,67.0,52,71.0,46,80.0,64,72,41,52,44.0,52.0,61.0,46,58.0,48,48,46.0,13,16,13,12,14,1615,351,3,2,Medium,Medium,1,75,49,55,60,46,66,3,54,54,54,59,56,56,56,59,57,57,57,59,54,54,54,59,55,52,52,52,55,54,51,51,51,54,18,58
M. Bauer,20,CB,CB,187.96,83.25,Right,12,425000.0,1000,744000.0,31,22,66,49,31.0,28,32.0,24,48,42,61,57,45.0,57,58.0,39,70.0,65,74,21,55,53.0,22.0,33.0,37,41.0,59,65,63.0,12,15,12,14,5,1365,291,3,2,Medium,Medium,1,59,26,40,37,61,68,10,41,41,41,38,38,38,38,38,38,38,38,41,44,44,44,41,53,54,54,54,53,56,61,61,61,56,17,61
B. Baggley,18,CAM,CM,170.18,64.35000000000001,Right,16,80000.0,600,190000.0,35,43,37,56,36.0,52,47.0,38,57,51,66,65,62.0,54,63.0,45,55.0,38,43,41,44,39.0,44.0,54.0,42,51.0,41,45,47.0,12,10,9,13,5,1389,296,3,2,Medium,Medium,1,65,43,50,53,42,43,3,48,48,48,51,51,51,51,51,52,52,52,51,51,51,51,51,47,48,48,48,47,47,45,45,45,47,15,51
Kaíqundo Calado,24,RB,RB CDM,182.88,76.5,Right,0,6500000.0,26000,12400000.0,70,49,63,67,41.0,73,60.0,35,60,69,76,87,75.0,77,56.0,60,67.0,76,74,47,69,74.0,68.0,62.0,49,60.0,74,73,69.0,11,15,7,12,10,1875,413,1,2,Medium,Medium,1,82,51,64,71,72,73,7,65,65,65,68,67,67,67,68,67,67,67,70,67,67,67,70,73,70,70,70,73,73,72,72,72,73,19,75
Alexis,33,CB,CB,182.88,74.25,Right,0,500000.0,5000,775000.0,57,22,69,63,40.0,47,49.0,43,60,57,49,52,61.0,64,58.0,67,75.0,67,75,24,80,66.0,53.0,48.0,30,65.0,66,68,67.0,16,8,13,10,13,1637,336,3,2,Medium,High,2,51,34,57,53,67,74,6,52,52,52,50,50,50,50,50,51,51,51,53,56,56,56,53,62,65,65,65,62,63,68,68,68,63,18,69
D. Miloc,29,CDM,CM CDM,177.8,73.35000000000001,Right,0,725000.0,6000,1100000.0,55,44,57,67,34.0,62,40.0,45,68,67,61,61,68.0,72,66.0,48,76.0,91,73,59,73,66.0,60.0,64.0,39,58.0,63,70,67.0,15,10,10,15,7,1773,380,3,3,Medium,High,1,61,48,62,65,66,78,4,58,58,58,61,61,61,61,61,63,63,63,64,67,67,67,64,67,69,69,69,67,67,67,67,67,67,18,67
V. Misidjan,26,RM,RM LM,172.72,69.3,Right,0,3300000.0,10000,5300000.0,66,70,41,68,61.0,77,70.0,65,52,73,87,85,86.0,68,84.0,59,71.0,63,56,57,55,32.0,69.0,64.0,54,66.0,29,24,22.0,12,7,8,10,7,1752,378,4,3,Medium,Medium,1,86,64,64,77,29,58,20,67,67,67,72,70,70,70,72,70,70,70,71,62,62,62,71,54,49,49,49,54,50,42,42,42,50,15,72
A. Öztürk,26,CB,CB,190.5,79.2,Right,2,575000.0,4000,1000000.0,31,31,64,61,38.0,50,40.0,47,58,54,48,52,46.0,56,52.0,72,76.0,64,83,62,56,62.0,21.0,43.0,41,61.0,60,67,66.0,7,10,5,14,11,1548,333,3,2,Medium,Medium,1,50,46,49,51,64,73,4,50,50,50,46,48,48,48,46,49,49,49,47,54,54,54,47,56,61,61,61,56,58,64,64,64,58,15,65
K. Ayhan,25,CB,CB,182.88,83.25,Right,3,7500000.0,25000,13300000.0,68,35,72,75,41.0,65,82.0,74,70,72,62,65,67.0,74,66.0,82,83.0,68,77,71,77,79.0,50.0,65.0,47,75.0,75,76,73.0,16,10,8,14,10,1969,407,3,3,High,Medium,1,64,53,71,68,76,75,42,62,62,62,64,64,64,64,64,65,65,65,65,69,69,69,65,72,74,74,74,72,72,75,75,75,72,19,75
A. Annan,31,RB,CDM CM,175.26,63.45,Right,0,375000.0,500,806000.0,59,40,48,60,53.0,54,61.0,37,63,61,78,77,77.0,62,84.0,65,80.0,67,61,53,77,67.0,51.0,52.0,50,77.0,65,67,65.0,9,10,6,14,6,1779,375,3,2,Medium,Medium,2,77,49,58,60,64,67,3,56,56,56,58,57,57,57,58,58,58,58,60,59,59,59,60,65,64,64,64,65,65,64,64,64,65,15,65
T. Rowe,31,LWB,LWB CM,180.34,80.55,Left,0,1300000.0,21000,2500000.0,67,57,57,64,44.0,66,45.0,53,63,64,68,70,78.0,66,70.0,61,66.0,82,63,52,48,73.0,66.0,64.0,53,63.0,64,67,64.0,14,14,14,13,16,1826,386,3,3,High,Medium,1,69,56,63,67,66,65,5,62,62,62,65,64,64,64,65,64,64,64,66,65,65,65,66,68,66,66,66,68,68,64,64,64,68,20,70
M. Bułka,20,GK,GK,198.12,89.10000000000001,Right,13,725000.0,1000,0.0,12,8,10,28,5.0,7,13.0,14,27,13,28,25,42.0,58,28.0,47,43.0,20,70,7,25,11.0,8.0,38.0,18,42.0,15,10,14.0,65,61,62,60,69,961,343,2,1,Medium,Medium,1,65,61,62,69,26,60,69,22,22,22,19,21,21,21,19,23,23,23,21,23,23,23,21,20,24,24,24,20,19,23,23,23,19,63,64
D. Kamada,23,CAM,CAM CF ST,180.34,71.55,Right,4,10000000.0,23000,17800000.0,74,71,53,76,60.0,84,73.0,68,65,80,83,69,81.0,72,80.0,74,68.0,70,59,65,55,28.0,75.0,74.0,71,80.0,30,42,34.0,6,10,11,6,11,1878,397,4,3,High,Medium,1,75,70,73,82,36,61,204,72,72,72,76,76,76,76,76,76,76,76,76,70,70,70,76,59,56,56,56,59,55,47,47,47,55,15,76
D. Drogba,38,ST,ST,187.96,79.2,Right,0,0.0,0,0.0,67,82,85,60,76.0,74,78.0,84,60,80,64,64,63.0,80,56.0,85,76.0,62,86,79,80,42.0,81.0,76.0,84,80.0,22,32,29.0,10,11,8,6,14,1956,401,4,3,Medium,Low,3,64,82,67,74,36,78,20,79,79,79,73,76,76,76,73,73,73,73,72,68,68,68,72,55,55,55,55,55,53,53,53,53,53,18,81
Enaldo Praz,36,LB,LB LWB,177.8,72.45,Left,0,1200000.0,18000,2300000.0,73,45,68,70,41.0,61,45.0,46,69,69,69,70,67.0,72,72.0,55,69.0,79,64,52,79,70.0,51.0,70.0,51,68.0,78,77,71.0,13,9,5,13,7,1850,397,3,2,Medium,Medium,1,70,49,68,65,74,71,3,59,59,59,64,62,62,62,64,64,64,64,66,68,68,68,66,72,72,72,72,72,73,72,72,72,73,17,75
R. Pereyra,29,LM,LM,182.88,76.5,Right,0,8500000.0,20000,15300000.0,75,72,60,78,73.0,82,78.0,74,74,80,76,75,76.0,74,76.0,72,65.0,60,68,74,66,70.0,75.0,77.0,72,78.0,50,64,70.0,4,5,3,4,8,2030,430,4,4,High,Medium,2,75,73,76,80,61,65,44,73,73,73,77,76,76,76,77,77,77,77,76,75,75,75,76,71,70,70,70,71,69,66,66,66,69,13,77
M. Bejarano,32,LB,LB LWB LM,172.72,69.3,Left,0,0.0,0,0.0,63,27,63,58,23.0,59,35.0,37,57,59,64,70,65.0,68,77.0,46,57.0,90,58,36,57,67.0,32.0,37.0,29,57.0,67,70,66.0,15,14,10,15,9,1600,346,3,2,High,Medium,1,67,33,52,61,67,66,17,49,49,49,53,50,50,50,53,51,51,51,57,56,56,56,57,67,64,64,64,67,67,64,64,64,67,19,69
M. Morozyuk,32,RB,RB RM,175.26,70.65,Right,0,3500000.0,13000,7000000.0,75,59,37,75,69.0,67,69.0,80,68,67,74,75,78.0,80,85.0,68,63.0,81,36,69,40,73.0,44.0,76.0,49,70.0,72,72,70.0,15,6,9,8,11,1920,399,4,3,High,Medium,1,75,62,74,70,69,49,3,60,60,60,68,66,66,66,68,69,69,69,70,71,71,71,70,74,70,70,70,74,72,63,63,63,72,18,74
F. Kaufmann,27,RM,RM,180.34,71.55,Right,0,1900000.0,10000,2900000.0,68,61,40,65,53.0,69,68.0,47,52,68,87,88,78.0,64,77.0,65,78.0,91,63,55,70,59.0,64.0,57.0,49,59.0,41,59,57.0,8,13,8,10,7,1839,403,3,3,High,High,1,88,60,61,70,52,72,6,64,64,64,68,66,66,66,68,65,65,65,69,63,63,63,69,67,61,61,61,67,65,58,58,58,65,15,70
N. Kijewski,24,LWB,LB LWB,175.26,73.35000000000001,Left,6,1100000.0,5000,1900000.0,65,30,58,61,28.0,66,57.0,53,67,66,77,74,73.0,58,76.0,49,90.0,79,59,46,60,69.0,48.0,50.0,34,62.0,60,64,65.0,6,6,9,8,8,1719,369,2,3,Medium,Medium,1,75,38,60,67,63,66,9,53,53,53,59,56,56,56,59,58,58,58,62,61,61,61,62,67,64,64,64,67,66,63,63,63,66,13,68
R. Sykes,21,CB,CB,195.57999999999998,72.45,Right,8,725000.0,1000,1400000.0,28,25,65,57,25.0,45,29.0,24,56,53,55,55,53.0,57,54.0,45,69.0,69,81,27,70,63.0,31.0,34.0,39,60.0,64,65,63.0,12,9,15,14,7,1458,316,2,2,Medium,High,1,55,30,43,49,64,75,4,46,46,46,43,44,44,44,43,45,45,45,46,51,51,51,46,56,61,61,61,56,58,65,65,65,58,16,65
D. Palacios,20,LWB,LB,170.18,64.35000000000001,Left,10,2600000.0,3000,4400000.0,75,25,44,67,25.0,68,36.0,27,59,67,78,76,68.0,63,86.0,48,58.0,74,58,30,69,65.0,55.0,56.0,37,62.0,67,70,67.0,7,10,9,7,9,1660,369,2,3,Medium,Medium,1,77,33,62,68,65,64,42,52,52,52,62,58,58,58,62,60,60,60,65,62,62,62,65,69,66,66,66,69,68,64,64,64,68,14,70
D. Schmid,19,CM,CAM CM,180.34,69.3,Left,17,650000.0,2000,0.0,49,35,41,68,55.0,64,73.0,67,72,73,68,69,68.0,45,70.0,72,68.0,70,64,31,40,53.0,45.0,74.0,45,62.0,35,44,52.0,13,8,7,10,7,1655,350,5,3,High,Medium,1,69,44,66,66,44,61,3,54,54,54,58,58,58,58,58,61,61,61,62,63,63,63,62,57,57,57,57,57,55,50,50,50,55,13,62
L. Hakim,18,CAM,ST CF,170.18,64.35000000000001,Right,19,190000.0,1000,404000.0,54,59,50,56,57.0,65,62.0,60,49,62,75,69,80.0,37,85.0,56,67.0,52,47,61,32,13.0,47.0,51.0,59,62.0,12,16,17.0,12,11,7,7,11,1498,313,3,3,Medium,Low,1,72,58,54,65,18,46,27,56,56,56,59,57,57,57,59,57,57,57,57,50,50,50,57,40,36,36,36,40,37,30,30,30,37,13,56
B. Kieliba,29,CB,CB,187.96,85.5,Right,0,250000.0,950,338000.0,26,20,65,59,31.0,26,25.0,23,55,45,44,52,39.0,60,68.0,46,50.0,70,84,20,67,61.0,26.0,37.0,53,49.0,59,61,60.0,11,14,10,12,11,1390,293,2,2,Medium,High,1,48,28,44,37,61,75,3,42,42,42,37,39,39,39,37,40,40,40,41,48,48,48,41,53,59,59,59,53,56,62,62,62,56,17,62
P. Karlsson,34,CB,CB,182.88,80.55,Right,0,875000.0,5000,1100000.0,35,32,66,54,32.0,42,34.0,29,52,49,62,70,61.0,67,67.0,51,88.0,69,81,30,68,75.0,36.0,39.0,40,68.0,72,74,74.0,11,15,14,14,9,1612,345,3,2,Low,High,1,66,36,45,49,73,76,4,50,50,50,47,47,47,47,47,47,47,47,49,52,52,52,49,62,64,64,64,62,65,71,71,71,65,18,71
E. Zavaleta,27,CB,CB,185.42,83.25,Right,1,550000.0,2000,866000.0,29,49,64,65,56.0,54,38.0,37,60,58,56,59,40.0,59,56.0,68,76.0,70,78,56,71,63.0,53.0,53.0,48,60.0,63,64,62.0,12,7,15,13,15,1667,357,2,2,Medium,Medium,1,58,55,52,54,63,75,8,58,58,58,53,57,57,57,53,56,56,56,55,59,59,59,55,58,63,63,63,58,59,65,65,65,59,17,65
B. Mendy,25,LWB,LB,185.42,84.15,Left,3,19500000.0,115000,37500000.0,87,39,65,80,38.0,79,80.0,44,69,78,75,84,68.0,80,65.0,79,71.0,75,79,65,75,78.0,73.0,76.0,50,79.0,77,79,80.0,7,7,9,15,9,2035,442,3,3,High,Low,2,80,54,77,77,77,77,249,69,69,69,74,73,73,73,74,74,74,74,76,75,75,75,76,80,77,77,77,80,79,77,77,77,79,17,81
A. McGeady,34,CAM,LM,177.8,70.65,Right,0,900000.0,9000,1600000.0,70,65,60,70,69.0,74,75.0,72,68,74,69,71,83.0,68,76.0,72,57.0,50,59,73,66,51.0,68.0,70.0,74,72.0,41,41,29.0,10,9,12,13,6,1865,386,4,5,High,Medium,2,70,69,70,75,44,58,47,68,68,68,71,70,70,70,71,71,71,71,69,67,67,67,69,57,57,57,57,57,55,52,52,52,55,16,70
D. Ragatzu,28,ST,ST LW RW,172.72,67.5,Right,0,325000.0,6000,553000.0,47,54,62,59,55.0,66,72.0,68,41,65,83,68,85.0,65,81.0,64,48.0,70,33,68,43,23.0,67.0,48.0,64,64.0,50,14,14.0,5,13,11,15,5,1626,332,3,3,High,Low,1,75,60,53,68,31,45,6,62,62,62,63,63,63,63,63,62,62,62,61,54,54,54,61,48,43,43,43,48,45,38,38,38,45,16,62
P. Rodríguez,30,LW,LW RW,170.18,59.4,Right,0,1000000.0,500,2200000.0,70,62,40,66,70.0,74,72.0,69,65,70,78,77,81.0,61,82.0,65,72.0,34,34,60,26,42.0,66.0,66.0,71,63.0,16,31,29.0,14,7,12,8,11,1701,343,3,3,High,Low,1,77,63,67,73,29,34,4,62,62,62,69,67,67,67,69,68,68,68,67,61,61,61,67,51,47,47,47,51,48,38,38,38,48,16,69
D. Fernández,19,CB,CB,180.34,73.35000000000001,Right,12,600000.0,2000,1000000.0,29,25,65,59,28.0,52,38.0,27,45,50,71,70,63.0,57,66.0,44,76.0,81,67,23,67,62.0,31.0,36.0,49,55.0,59,64,66.0,6,7,6,13,11,1513,330,3,2,Medium,Medium,1,70,30,44,53,62,71,6,47,47,47,47,46,46,46,47,47,47,47,50,50,50,50,50,59,59,59,59,59,61,63,63,63,61,14,63
